startTime	responseTime	sampleLabel	isSuccessful
1613465646314	1	Notifications: Analyzer	1
1613466501677	1	Inbox: Open All notifications	1
1613466502056	1	Inbox: Open Reaction and Mention notifications	1
1613466502104	1	Inbox: Open Subscription notifications	1
